	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	15.5	16	16.5	17	18	19	Number of timepoints	Question answers	Question answers en	Question answers en human	Question answers human	Question en
hebt u een huisgenoot die positief getest is voor een coronavirus/covid-19 infectie?	covt01_contact_adu_q_1_a	covt02_contact_adu_q_1_a	covt03_contact_adu_q_1_a	covt04_contact_adu_q_1_a	covt05_contact_adu_q_2_a	covt06_contact_adu_q_3_a	covt07_contact_adu_q_3_a	covt08_contact_adu_q_3_a	covt09_contact_adu_q_3_a		covt11_contact_adu_q_3_a	covt12_contact_adu_q_3_a	covt13_contact_adu_q_3_a	covt14_contact_adu_q_3_a	covt15_contact_adu_q_3_a	covt15b_contact_adu_q_3_a	covt16_contact_adu_q_3_a	covt16b_contact_adu_q_3_a	covt17_contact_adu_q_3_a	covt18_contact_adu_q_3_a	covt19_contact_adu_q_3_a	20	{"2": "nee", "1": "ja"}	{"2": "no", "1": "yes"}	2: no, 1: yes	2: nee, 1: ja	has someone you live with tested positive for a covid-19 infection?
ik voelde me moe / in welke mate had u de afgelopen 7 dagen last van:	covt01_fatigue_adu_q_1_a	covt02_fatigue_adu_q_1_a	covt03_fatigue_adu_q_1_a	covt04_fatigue_adu_q_1_a	covt05_fatigue_adu_q_1_a	covt06_fatigue_adu_q_1_a	covt07_fatigue_adu_q_2_a	covt08_fatigue_adu_q_2_a	covt09_fatigue_adu_q_2_a		covt11_fatigue_adu_q_2_a	covt12_fatigue_adu_q_2_a	covt13_fatigue_adu_q_2_a	covt14_fatigue_adu_q_2_a	covt15_fatigue_adu_q_2_a	covt15b_fatigue_adu_q_2_a	covt16_fatigue_adu_q_2_a	covt16b_fatigue_adu_q_2_a	covt17_fatigue_adu_q_2_a	covt18_fatigue_adu_q_2_a	covt19_fatigue_adu_q_2_a	20	{"2": "2", "7": "7 (nee, dat klopt niet)", "6": "6", "5": "5", "1": "1 (ja, dat klopt helemaal)", "3": "3", "4": "4"}	{"2": "2", "7": "7 (no, that is not true)", "6": "6", "5": "5", "1": "1 (yes, that is true)", "3": "3", "4": "4"}	2: 2, 7: 7 (no, that is not true), 6: 6, 5: 5, 1: 1 (yes, that is true), 3: 3, 4: 4	2: 2, 7: 7 (nee, dat klopt niet), 6: 6, 5: 5, 1: 1 (ja, dat klopt helemaal), 3: 3, 4: 4	i felt tired / to what extent have you experienced following in the last 7 days:
ik was gauw moe / in welke mate had u de afgelopen 7 dagen last van:	covt01_fatigue_adu_q_1_b	covt02_fatigue_adu_q_1_b	covt03_fatigue_adu_q_1_b	covt04_fatigue_adu_q_1_b	covt05_fatigue_adu_q_1_b	covt06_fatigue_adu_q_1_b	covt07_fatigue_adu_q_2_b	covt08_fatigue_adu_q_2_b	covt09_fatigue_adu_q_2_b		covt11_fatigue_adu_q_2_b	covt12_fatigue_adu_q_2_b	covt13_fatigue_adu_q_2_b	covt14_fatigue_adu_q_2_b	covt15_fatigue_adu_q_2_b	covt15b_fatigue_adu_q_2_b	covt16_fatigue_adu_q_2_b	covt16b_fatigue_adu_q_2_b	covt17_fatigue_adu_q_2_b	covt18_fatigue_adu_q_2_b	covt19_fatigue_adu_q_2_b	20	{"6": "6", "4": "4", "2": "2", "3": "3", "7": "7 (nee, dat klopt niet)", "1": "1 (ja, dat klopt helemaal)", "5": "5"}	{"6": "6", "4": "4", "2": "2", "3": "3", "7": "7 (no, that is not true)", "1": "1 (yes, that is true)", "5": "5"}	6: 6, 4: 4, 2: 2, 3: 3, 7: 7 (no, that is not true), 1: 1 (yes, that is true), 5: 5	6: 6, 4: 4, 2: 2, 3: 3, 7: 7 (nee, dat klopt niet), 1: 1 (ja, dat klopt helemaal), 5: 5	i was easily tired / to what extent have you experienced following in the last 7 days:
ik voelde me fit / in welke mate had u de afgelopen 7 dagen last van:	covt01_fatigue_adu_q_1_c	covt02_fatigue_adu_q_1_c	covt03_fatigue_adu_q_1_c	covt04_fatigue_adu_q_1_c	covt05_fatigue_adu_q_1_c	covt06_fatigue_adu_q_1_c	covt07_fatigue_adu_q_2_c	covt08_fatigue_adu_q_2_c	covt09_fatigue_adu_q_2_c		covt11_fatigue_adu_q_2_c	covt12_fatigue_adu_q_2_c	covt13_fatigue_adu_q_2_c	covt14_fatigue_adu_q_2_c	covt15_fatigue_adu_q_2_c	covt15b_fatigue_adu_q_2_c	covt16_fatigue_adu_q_2_c	covt16b_fatigue_adu_q_2_c	covt17_fatigue_adu_q_2_c	covt18_fatigue_adu_q_2_c	covt19_fatigue_adu_q_2_c	20	{"1": "1 (ja, dat klopt helemaal)", "2": "2", "7": "7 (nee, dat klopt niet)", "3": "3", "5": "5", "4": "4", "6": "6"}	{"1": "1 (yes, that is true)", "2": "2", "7": "7 (no, that is not true)", "3": "3", "5": "5", "4": "4", "6": "6"}	1: 1 (yes, that is true), 2: 2, 7: 7 (no, that is not true), 3: 3, 5: 5, 4: 4, 6: 6	1: 1 (ja, dat klopt helemaal), 2: 2, 7: 7 (nee, dat klopt niet), 3: 3, 5: 5, 4: 4, 6: 6	i felt fine / to what extent have you experienced following in the last 7 days:
lichamelijk voelde ik me uitgeput / in welke mate had u de afgelopen 7 dagen last van:	covt01_fatigue_adu_q_1_d	covt02_fatigue_adu_q_1_d	covt03_fatigue_adu_q_1_d	covt04_fatigue_adu_q_1_d	covt05_fatigue_adu_q_1_d	covt06_fatigue_adu_q_1_d	covt07_fatigue_adu_q_2_d	covt08_fatigue_adu_q_2_d	covt09_fatigue_adu_q_2_d		covt11_fatigue_adu_q_2_d	covt12_fatigue_adu_q_2_d	covt13_fatigue_adu_q_2_d	covt14_fatigue_adu_q_2_d	covt15_fatigue_adu_q_2_d	covt15b_fatigue_adu_q_2_d	covt16_fatigue_adu_q_2_d	covt16b_fatigue_adu_q_2_d	covt17_fatigue_adu_q_2_d	covt18_fatigue_adu_q_2_d	covt19_fatigue_adu_q_2_d	20	{"1": "1 (ja, dat klopt helemaal)", "4": "4", "3": "3", "5": "5", "7": "7 (nee, dat klopt niet)", "6": "6", "2": "2"}	{"1": "1 (yes, that is true)", "4": "4", "3": "3", "5": "5", "7": "7 (no, that is not true)", "6": "6", "2": "2"}	1: 1 (yes, that is true), 4: 4, 3: 3, 5: 5, 7: 7 (no, that is not true), 6: 6, 2: 2	1: 1 (ja, dat klopt helemaal), 4: 4, 3: 3, 5: 5, 7: 7 (nee, dat klopt niet), 6: 6, 2: 2	i felt physically exhausted / to what extent have you experienced following in the last 7 days:
ik heb vertrouwen in de aanpak van de corona-crisis door de nederlandse regering	covt01_government_adu_q_1	covt02_government_adu_q_1	covt03_government_adu_q_1	covt04_government_adu_q_1	covt05_government_adu_q_1	covt06_government_adu_q_1	covt07_government_adu_q_1	covt08_government_adu_q_1	covt09_government_adu_q_1		covt11_government_adu_q_1	covt12_government_adu_q_1	covt13_government_adu_q_1	covt14_government_adu_q_1	covt15_government_adu_q_1	covt15b_government_adu_q_1	covt16_government_adu_q_1	covt16b_government_adu_q_1	covt17_government_adu_q_1	covt18_government_adu_q_1	covt19_government_adu_q_1	20	{"1": "helemaal geen vertrouwen", "3": "een beetje vertrouwen", "5": "heel veel vertrouwen", "4": "veel vertrouwen", "2": "weinig vertrouwen"}	{"1": "no faith at all", "3": "some faith", "5": "complete faith", "4": "much faith", "2": "little faith"}	1: no faith at all, 3: some faith, 5: complete faith, 4: much faith, 2: little faith	1: helemaal geen vertrouwen, 3: een beetje vertrouwen, 5: heel veel vertrouwen, 4: veel vertrouwen, 2: weinig vertrouwen	i have faith in the dutch government's response to the corona crisis
hebt u zuurstof toegediend gekregen?	covt01_hospital_adu_q_1_a	covt02_hospital_adu_q_2_a	covt03_hospital_adu_q_2_a	covt04_hospital_adu_q_2_a	covt05_hospital_adu_q_2_a	covt06_hospital_adu_q_2_a	covt07_hospital_adu_q_2_a	covt08_hospital_adu_q_2_a	covt09_hospital_adu_q_2_a		covt11_hospital_adu_q_2_a	covt12_hospital_adu_q_2_a	covt13_hospital_adu_q_2_a	covt14_hospital_adu_q_2_a	covt15_hospital_adu_q_2_a	covt15b_hospital_adu_q_2_a	covt16_hospital_adu_q_2_a	covt16b_hospital_adu_q_2_a	covt17_hospital_adu_q_2_a	covt18_hospital_adu_q_2_a	covt19_hospital_adu_q_2_a	20	{"1": "ja", "2": "nee"}	{"1": "yes", "2": "no"}	1: yes, 2: no	1: ja, 2: nee	were you given supplemental oxygen?
hebt u een antibioticumkuur gekregen?	covt01_hospital_adu_q_1_b	covt02_hospital_adu_q_2_b	covt03_hospital_adu_q_2_b	covt04_hospital_adu_q_2_b	covt05_hospital_adu_q_2_b	covt06_hospital_adu_q_2_b	covt07_hospital_adu_q_2_b	covt08_hospital_adu_q_2_b	covt09_hospital_adu_q_2_b		covt11_hospital_adu_q_2_b	covt12_hospital_adu_q_2_b	covt13_hospital_adu_q_2_b	covt14_hospital_adu_q_2_b	covt15_hospital_adu_q_2_b	covt15b_hospital_adu_q_2_b	covt16_hospital_adu_q_2_b	covt16b_hospital_adu_q_2_b	covt17_hospital_adu_q_2_b	covt18_hospital_adu_q_2_b	covt19_hospital_adu_q_2_b	20	{"1": "ja", "2": "nee"}	{"1": "yes", "2": "no"}	1: yes, 2: no	1: ja, 2: nee	were you put on antibiotics?
hebt u op de intensive care gelegen?	covt01_hospital_adu_q_1_c	covt02_hospital_adu_q_2_c	covt03_hospital_adu_q_2_c	covt04_hospital_adu_q_2_c	covt05_hospital_adu_q_2_c	covt06_hospital_adu_q_2_c	covt07_hospital_adu_q_2_c	covt08_hospital_adu_q_2_c	covt09_hospital_adu_q_2_c		covt11_hospital_adu_q_2_c	covt12_hospital_adu_q_2_c	covt13_hospital_adu_q_2_c	covt14_hospital_adu_q_2_c	covt15_hospital_adu_q_2_c	covt15b_hospital_adu_q_2_c	covt16_hospital_adu_q_2_c	covt16b_hospital_adu_q_2_c	covt17_hospital_adu_q_2_c	covt18_hospital_adu_q_2_c	covt19_hospital_adu_q_2_c	20	{"2": "nee", "1": "ja"}	{"2": "no", "1": "yes"}	2: no, 1: yes	2: nee, 1: ja	were you in the intensive care unit of the hospital?
hebt u aan de beademing gelegen?	covt01_hospital_adu_q_1_d	covt02_hospital_adu_q_2_d	covt03_hospital_adu_q_2_d	covt04_hospital_adu_q_2_d	covt05_hospital_adu_q_2_d	covt06_hospital_adu_q_2_d	covt07_hospital_adu_q_2_d	covt08_hospital_adu_q_2_d	covt09_hospital_adu_q_2_d		covt11_hospital_adu_q_2_d	covt12_hospital_adu_q_2_d	covt13_hospital_adu_q_2_d	covt14_hospital_adu_q_2_d	covt15_hospital_adu_q_2_d	covt15b_hospital_adu_q_2_d	covt16_hospital_adu_q_2_d	covt16b_hospital_adu_q_2_d	covt17_hospital_adu_q_2_d	covt18_hospital_adu_q_2_d	covt19_hospital_adu_q_2_d	20	{"2": "nee", "1": "ja"}	{"2": "no", "1": "yes"}	2: no, 1: yes	2: nee, 1: ja	were you put on a ventilator?
bent u vanwege uw coronavirus/covid-19 infectie in het ziekenhuis opgenomen geweest?	covt01_hospital_adu_q_1	covt02_hospital_adu_q_1	covt03_hospital_adu_q_1	covt04_hospital_adu_q_1	covt05_hospital_adu_q_1	covt06_hospital_adu_q_2	covt07_hospital_adu_q_2	covt08_hospital_adu_q_2	covt09_hospital_adu_q_2		covt11_hospital_adu_q_2	covt12_hospital_adu_q_2	covt13_hospital_adu_q_2	covt14_hospital_adu_q_2	covt15_hospital_adu_q_2	covt15b_hospital_adu_q_2	covt16_hospital_adu_q_2	covt16b_hospital_adu_q_2	covt17_hospital_adu_q_2	covt18_hospital_adu_q_2	covt19_hospital_adu_q_2	20	{"1": "ja", "2": "nee"}	{"1": "yes", "2": "no"}	1: yes, 2: no	1: ja, 2: nee	have you been hospitalized for a covid-19 infection?
hebt u zich tijdens de afgelopen 7 dagen voortdurend somber of depressief gevoeld gedurende het grootste gedeelte van de dag, en dit bijna elke dag?	covt01_minia1_adu_q_1	covt02_minia1_adu_q_1	covt03_minia1_adu_q_1	covt04_minia1_adu_q_1	covt05_minia1_adu_q_1	covt06_minia1_adu_q_1	covt07_minia1_adu_q_2	covt08_minia1_adu_q_2	covt09_minia1_adu_q_2	covt10_minia1_adu_q_2	covt11_minia1_adu_q_2		covt13_minia1_adu_q_2	covt14_minia1_adu_q_2	covt15_minia1_adu_q_2	covt15b_minia1_adu_q_2	covt16_minia1_adu_q_2	covt16b_minia1_adu_q_2	covt17_minia1_adu_q_2	covt18_minia1_adu_q_2	covt19_minia1_adu_q_2	20	{"1": "ja", "2": "nee"}	{"1": "yes", "2": "no"}	1: yes, 2: no	1: ja, 2: nee	in the last 7 days have you felt low or depressed for much of the day, every day?
hebt u tijdens de afgelopen 7 dagen voortdurend het gevoel gehad nergens meer zin in te hebben of geen interesse meer te hebben voor dingen die u normaal wel interesseren?	covt01_minia2_adu_q_1	covt02_minia2_adu_q_1	covt03_minia2_adu_q_1	covt04_minia2_adu_q_1	covt05_minia2_adu_q_1	covt06_minia2_adu_q_1	covt07_minia2_adu_q_2	covt08_minia2_adu_q_2	covt09_minia2_adu_q_2	covt10_minia2_adu_q_2	covt11_minia2_adu_q_2		covt13_minia2_adu_q_2	covt14_minia2_adu_q_2	covt15_minia2_adu_q_2	covt15b_minia2_adu_q_2	covt16_minia2_adu_q_2	covt16b_minia2_adu_q_2	covt17_minia2_adu_q_2	covt18_minia2_adu_q_2	covt19_minia2_adu_q_2	20	{"2": "nee", "1": "ja"}	{"2": "no", "1": "yes"}	2: no, 1: yes	2: nee, 1: ja	in the last 7 days have you had the feeling that you've lost interest in or the will to do things you are normally interested in?
was uw eetlust merkbaar veranderd, of is uw gewicht toegenomen of afgenomen, zonder dat dit de bedoeling was? (in de afgelopen 7 dagen)	covt01_minia3a_adu_q_1	covt02_minia3a_adu_q_1	covt03_minia3a_adu_q_1	covt04_minia3a_adu_q_1	covt05_minia3a_adu_q_1	covt06_minia3a_adu_q_1	covt07_minia3a_adu_q_2	covt08_minia3a_adu_q_2	covt09_minia3a_adu_q_2	covt10_minia3a_adu_q_2	covt11_minia3a_adu_q_2		covt13_minia3a_adu_q_2	covt14_minia3a_adu_q_2	covt15_minia3a_adu_q_2	covt15b_minia3a_adu_q_2	covt16_minia3a_adu_q_2	covt16b_minia3a_adu_q_2	covt17_minia3a_adu_q_2	covt18_minia3a_adu_q_2	covt19_minia3a_adu_q_2	20	{"2": "nee", "1": "ja"}	{"2": "no", "1": "yes"}	2: no, 1: yes	2: nee, 1: ja	did your appetite change noticeably, or did your weight increase or decrease without this being intended? (in the last 7 days)
hebt u bijna elke nacht slaapproblemen gehad (moeilijk inslapen, wakker worden tijdens de nacht of te vroeg in de ochtend, of juist teveel slapen)? (in de afgelopen 7 dagen)	covt01_minia3b_adu_q_1	covt02_minia3b_adu_q_1	covt03_minia3b_adu_q_1	covt04_minia3b_adu_q_1	covt05_minia3b_adu_q_1	covt06_minia3b_adu_q_1	covt07_minia3b_adu_q_2	covt08_minia3b_adu_q_2	covt09_minia3b_adu_q_2	covt10_minia3b_adu_q_2	covt11_minia3b_adu_q_2		covt13_minia3b_adu_q_2	covt14_minia3b_adu_q_2	covt15_minia3b_adu_q_2	covt15b_minia3b_adu_q_2	covt16_minia3b_adu_q_2	covt16b_minia3b_adu_q_2	covt17_minia3b_adu_q_2	covt18_minia3b_adu_q_2	covt19_minia3b_adu_q_2	20	{"2": "nee", "1": "ja"}	{"2": "no", "1": "yes"}	2: no, 1: yes	2: nee, 1: ja	have you had problems sleeping almost every night (difficulty falling asleep, waking up in the night or too early in the morning, or actually sleeping too much)? (in the last 7 days)
praatte of bewoog u trager dan gewoonlijk, of voelde u zich juist rusteloos, gejaagd en kon u moeilijk stil blijven zitten? bijna elke dag? (in de afgelopen 7 dagen)	covt01_minia3c_adu_q_1	covt02_minia3c_adu_q_1	covt03_minia3c_adu_q_1	covt04_minia3c_adu_q_1	covt05_minia3c_adu_q_1	covt06_minia3c_adu_q_1	covt07_minia3c_adu_q_2	covt08_minia3c_adu_q_2	covt09_minia3c_adu_q_2	covt10_minia3c_adu_q_2	covt11_minia3c_adu_q_2		covt13_minia3c_adu_q_2	covt14_minia3c_adu_q_2	covt15_minia3c_adu_q_2	covt15b_minia3c_adu_q_2	covt16_minia3c_adu_q_2	covt16b_minia3c_adu_q_2	covt17_minia3c_adu_q_2	covt18_minia3c_adu_q_2	covt19_minia3c_adu_q_2	20	{"1": "ja", "2": "nee"}	{"1": "yes", "2": "no"}	1: yes, 2: no	1: ja, 2: nee	did you speak or move more slowly than normal? or did you feel restless, jittery and could barely sit still? nearly every day? (in the last 7 days)
voelde u zich bijna elke dag waardeloos of schuldig? (in de afgelopen 7 dagen)	covt01_minia3e_adu_q_1	covt02_minia3e_adu_q_1	covt03_minia3e_adu_q_1	covt04_minia3e_adu_q_1	covt05_minia3e_adu_q_1	covt06_minia3e_adu_q_1	covt07_minia3e_adu_q_2	covt08_minia3e_adu_q_2	covt09_minia3e_adu_q_2	covt10_minia3e_adu_q_2	covt11_minia3e_adu_q_2		covt13_minia3e_adu_q_2	covt14_minia3e_adu_q_2	covt15_minia3e_adu_q_2	covt15b_minia3e_adu_q_2	covt16_minia3e_adu_q_2	covt16b_minia3e_adu_q_2	covt17_minia3e_adu_q_2	covt18_minia3e_adu_q_2	covt19_minia3e_adu_q_2	20	{"1": "ja", "2": "nee"}	{"1": "yes", "2": "no"}	1: yes, 2: no	1: ja, 2: nee	did you feel worthless or guilty almost every day? (in the last 7 days)
kon u zich bijna elke dag moeilijk concentreren of moeilijk beslissingen nemen? (in de afgelopen 7 dagen)	covt01_minia3f_adu_q_1	covt02_minia3f_adu_q_1	covt03_minia3f_adu_q_1	covt04_minia3f_adu_q_1	covt05_minia3f_adu_q_1	covt06_minia3f_adu_q_1	covt07_minia3f_adu_q_2	covt08_minia3f_adu_q_2	covt09_minia3f_adu_q_2	covt10_minia3f_adu_q_2	covt11_minia3f_adu_q_2		covt13_minia3f_adu_q_2	covt14_minia3f_adu_q_2	covt15_minia3f_adu_q_2	covt15b_minia3f_adu_q_2	covt16_minia3f_adu_q_2	covt16b_minia3f_adu_q_2	covt17_minia3f_adu_q_2	covt18_minia3f_adu_q_2	covt19_minia3f_adu_q_2	20	{"1": "ja", "2": "nee"}	{"1": "yes", "2": "no"}	1: yes, 2: no	1: ja, 2: nee	was it difficult to concentrate or make decisions almost every day? (in the last 7 days)
