question_label_nl	model_type	TypeLongnitudinal	Mixed	Number of timepoints	Question en	Answer options	Recode value labels
gevoelige huid / in welke mate had u de afgelopen 14 dagen last van:	ordinal-ordered	binomial	TRUE	12	sensitive skin / to what extent have you had the following symptoms in the last 14 days:	{"1":"helemaal niet","2":"een beetje","3":"nogal","4":"tamelijk veel","5":"heel erg"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
hebt u bijna elke nacht slaapproblemen gehad (moeilijk inslapen, wakker worden tijdens de nacht of te vroeg in de ochtend, of juist teveel slapen)? (in de afgelopen 7 dagen)	binomial	binomial	TRUE	18	have you had problems sleeping almost every night (difficulty falling asleep, waking up in the night or too early in the morning, or actually sleeping too much)? (in the last 7 days)	{"0":"no","1":"yes"}	NA
hebt u de afgelopen 7 dagen gerookt?	binomial	binomial	TRUE	11	have you smoked in the last 7 days?	{"0":"no","1":"yes"}	NA
hebt u de afgelopen 7 dagen medicatie gebruikt?	binomial	binomial	TRUE	10	have you taken any medications in the last 7 days?	{"0":"no","1":"yes"}	NA
hebt u een chronische aandoening?	binomial	binomial	TRUE	2	do you have a chronic health condition?	{"0":"no","1":"yes"}	NA
hebt u in de afgelopen 7 dagen buitensporig gepiekerd en zich zorgen gemaakt over meerdere problemen van het dagelijks leven, op het werk, thuis, in uw naaste omgeving?	binomial	binomial	TRUE	18	in the last 7 days, have you been worrying excessively and worrying about multiple problems of every day life, at work, at home, in your immediate environment?	{"0":"no","1":"yes"}	NA
hebt u tijdens de afgelopen 7 dagen voortdurend het gevoel gehad nergens meer zin in te hebben of geen interesse meer te hebben voor dingen die u normaal wel interesseren?	binomial	binomial	TRUE	18	in the last 7 days have you had the feeling that you've lost interest in or the will to do things you are normally interested in?	{"0":"no","1":"yes"}	NA
hebt u zich tijdens de afgelopen 7 dagen voortdurend somber of depressief gevoeld gedurende het grootste gedeelte van de dag, en dit bijna elke dag?	binomial	binomial	TRUE	18	in the last 7 days have you felt low or depressed for much of the day, every day?	{"0":"no","1":"yes"}	NA
heeft iemand die dichtbij u staat een coronavirus-infectie?	binomial	binomial	TRUE	18	does someone close to you have a covid-19 infection?	{"0":"no","1":"yes"}	NA
het coronavirus bedreigt iedereen in nederland	ordinal-ordered	binomial	TRUE	10	covid-19 threatens everyone in the netherlands	{"1":"helemaal oneens","2":"beetje oneens","3":"niet eens, niet oneens","4":"beetje eens","5":"helemaal eens"}	{"1": "0", "2": "0", "3": "0", "4": "1", "5": "1"}
hoe vaak per dag wast u uw handen?	ordinal-ordered	binomial	TRUE	2	how often per day do you wash your hands?	{"1":"minder dan 3 keer per dag","2":"3-6 keer per dag","3":"7-10 keer per dag","4":"meer dan 10 keer per dag"}	{"1": "0", "2": "0", "3": "1", "4": "1"}
hoe vaak voelt u zich afgesloten van anderen? (in de afgelopen 7 dagen)	ordinal-ordered	binomial	TRUE	16	how often do you feel isolated from others? (in the last 7 days)	{"1":"bijna nooit of nooit","2":"soms","3":"vaak"}	{"1": "0", "2": "1", "3": "1"}
hoe vaak voelt u zich alleen? (in de afgelopen 7 dagen)	ordinal-ordered	binomial	TRUE	16	how often do you feel alone? (in the last 7 days)	{"1":"bijna nooit of nooit","2":"soms","3":"vaak"}	{"1": "0", "2": "1", "3": "1"}
hoe vaak voelt u zich buitengesloten? (in de afgelopen 7 dagen)	ordinal-ordered	binomial	TRUE	16	how often do you feel excluded? (in the last 7 days)	{"1":"bijna nooit of nooit","2":"soms","3":"vaak"}	{"1": "0", "2": "1", "3": "1"}
hoe vaak wast u uw handen 20 seconden of langer?	ordinal-ordered	binomial	TRUE	2	how often do you wash your hands for 20 seconds or longer?	{"1":"minder dan 3 keer per dag","2":"3-6 keer per dag","3":"7-10 keer per dag","4":"meer dan 10 keer per dag"}	{"1": "0", "2": "0", "3": "1", "4": "1"}
hoe waardeert u uw kwaliteit van leven over de afgelopen 14 dagen?	gaussian	gaussian	TRUE	13	how would you rate your quality of life over the last 7 days?	{"1":"1 (verschrikkelijk)","2":"2","3":"3","4":"4","5":"5","6":"6","7":"7","8":"8","9":"9","10":"10 (uitstekend)"}	NA
hoesten zonder slijm / in welke mate had u de afgelopen 7 dagen last van:	ordinal-ordered	binomial	TRUE	18	dry cough / to what extent have you had the following symptoms in the last 7 days:	{"1":"helemaal niet","2":"een beetje","3":"nogal","4":"tamelijk veel","5":"heel erg"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
hoeveel zorgen maakte u zich de afgelopen 7 dagen over de corona-crisis?	gaussian	gaussian	TRUE	18	how much have you been concerned about the corona crisis in the past 7 days?	{"1":"1 (geen zorgen)","2":"2","3":"3","4":"4","5":"5","6":"6","7":"7","8":"8","9":"9","10":"10 (extreem veel zorgen)"}	NA
hoofdpijn / in welke mate had u de afgelopen 7 dagen last van:	ordinal-ordered	binomial	TRUE	18	headache / to what extent have you had the following symptoms in the last 7 days:	{"1":"helemaal niet","2":"een beetje","3":"nogal","4":"tamelijk veel","5":"heel erg"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
ik bedenk me dat het vergeleken met andere dingen allemaal best meevalt / wat denkt u over het algemeen wanneer u iets vervelends of iets ergs heeft meegemaakt?	ordinal-ordered-turned	binomial	TRUE	3	i think to myself that it is not so bad compared to other things / what do you generally think when something bad happened to you?	{"1":"completely disagree","2":"disagree","3":"neutral","4":"agree","5":"completely agree"}	{"1": "0", "2": "0", "3": "0", "4": "1", "5": "1"}
ik bedenk me dat ik het moet accepteren / wat denkt u over het algemeen wanneer u iets vervelends of iets ergs heeft meegemaakt?	ordinal-ordered-turned	binomial	TRUE	3	i think to myself that i have to accept it / what do you generally think when something bad happened to you?	{"1":"completely disagree","2":"disagree","3":"neutral","4":"agree","5":"completely agree"}	{"1": "0", "2": "0", "3": "0", "4": "1", "5": "1"}
ik ben bang dat het fout zal gaan in de samenleving (in de afgelopen 7 dagen)	gaussian	gaussian	TRUE	4	i am afraid that things will go wrong in our society (in the last 7 days)	{"1":"1 (helemaal niet)","2":"2","3":"3","4":"4","5":"5","6":"6","7":"7 (heel erg)"}	NA
ik ben gefrustreerd dat mensen de corona regels niet naleven	ordinal-ordered-turned	binomial	TRUE	2	i am frustrated that people do not comply with corona measures	{"1":"completely disagree","2":"disagree","3":"neutral","4":"agree","5":"completely agree"}	{"1": "0", "2": "0", "3": "0", "4": "1", "5": "1"}
ik ben gefrustreerd over hoe het nu gaat in de samenleving (in de afgelopen 7 dagen)	gaussian	gaussian	TRUE	4	i am frustrated with how things are now going in society (in the last 7 days)	{"1":"1 (helemaal niet)","2":"2","3":"3","4":"4","5":"5","6":"6","7":"7 (heel erg)"}	NA
ik denk er telkens aan hoe vreselijk de situatie is geweest / wat denkt u over het algemeen wanneer u iets vervelends of iets ergs heeft meegemaakt?	ordinal-ordered-turned	binomial	TRUE	3	i keep thinking about how awful the situation has been / what do you generally think when something bad happened to you?	{"1":"completely disagree","2":"disagree","3":"neutral","4":"agree","5":"completely agree"}	{"1": "0", "2": "0", "3": "0", "4": "1", "5": "1"}
ik doe alles wat ik kan om anderen te helpen die besmet zijn met het coronavirus (in de afgelopen 7 dagen)	ordinal-ordered	binomial	TRUE	7	i do everything i can to help others who are infected with covid-19 (in the last 7 days)	{"1":"helemaal oneens","2":"beetje oneens","3":"niet eens, niet oneens","4":"beetje eens","5":"helemaal eens"}	{"1": "0", "2": "0", "3": "0", "4": "1", "5": "1"}
ik heb de neiging om snel terug te veren na moeilijke tijden	ordinal-ordered-turned	binomial	TRUE	3	i have a tendency to recover quickly after difficult times	{"1":"completely disagree","2":"disagree","3":"neutral","4":"agree","5":"completely agree"}	{"1": "0", "2": "0", "3": "0", "4": "1", "5": "1"}
ik heb het gevoel dat ik niet gewaardeerd word door anderen in de maatschappij (in de afgelopen 7 dagen)	ordinal-ordered	binomial	TRUE	4	i feel that i am not appreciated by others in society (in the last 7 days)	{"1":"helemaal oneens","2":"beetje oneens","3":"niet eens, niet oneens","4":"beetje eens","5":"helemaal eens"}	{"1": "0", "2": "0", "3": "0", "4": "1", "5": "1"}
ik heb vertrouwen in de aanpak van de corona-crisis door de nederlandse regering	ordinal-ordered	binomial	TRUE	18	i have faith in the dutch government's response to the corona crisis	{"1":"helemaal geen vertrouwen","2":"weinig vertrouwen","3":"een beetje vertrouwen","4":"veel vertrouwen","5":"heel veel vertrouwen"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
ik hou graag zelf de controle over een situatie	ordinal-ordered-turned	binomial	TRUE	2	i like to be in control over a situation	{"1":"completely disagree","2":"disagree","3":"neutral","4":"agree","5":"completely agree"}	{"1": "0", "2": "0", "3": "0", "4": "1", "5": "1"}
ik maak me zorgen dat het lang gaat duren voordat ik mijn normale dagelijkse leven weer kan oppakken / hoeveel zorgen maakte u zich de afgelopen 7 dagen over de corona-crisis?	ordinal-ordered	binomial	TRUE	18	i worry that it will be a long time before my life returns to normal / how much have you been concerned about the corona crisis in the past 7 days?	{"1":"nooit","2":"bijna nooit","3":"soms","4":"vaak","5":"altijd of bijna altijd"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
ik maak me zorgen dat iemand die dichtbij mij staat ziek wordt / hoeveel zorgen maakte u zich de afgelopen 7 dagen over de corona-crisis?	ordinal-ordered	binomial	TRUE	18	i worry that someone close to me will get sick / how much have you been concerned about the corona crisis in the past 7 days?	{"1":"nooit","2":"bijna nooit","3":"soms","4":"vaak","5":"altijd of bijna altijd"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
ik maak me zorgen dat ik mijn baan verlies / hoeveel zorgen maakte u zich de afgelopen 7 dagen over de corona-crisis?	ordinal-ordered	binomial	TRUE	18	i worry that i will lose my job / how much have you been concerned about the corona crisis in the past 7 days?	{"1":"nooit","2":"bijna nooit","3":"soms","4":"vaak","5":"altijd of bijna altijd"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
ik maak me zorgen dat ik of mijn familie financieel ernstig in de problemen kom(t) / hoeveel zorgen maakte u zich de afgelopen 7 dagen over de corona-crisis?	ordinal-ordered	binomial	TRUE	18	i am concerned that i or my family will be in serious financial trouble / how much have you been concerned about the corona crisis in the past 7 days?	{"1":"nooit","2":"bijna nooit","3":"soms","4":"vaak","5":"altijd of bijna altijd"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
ik maak me zorgen om zelf ziek te worden / hoeveel zorgen maakte u zich de afgelopen 7 dagen over de corona-crisis?	ordinal-ordered	binomial	TRUE	18	i worry about getting sick myself / how much have you been concerned about the corona crisis in the past 7 days?	{"1":"nooit","2":"bijna nooit","3":"soms","4":"vaak","5":"altijd of bijna altijd"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
ik vermijd horeca gelegenheden (bars, restaurants) / ik neem deze extra maatregelen voor mezelf:	binomial	binomial	TRUE	2	i avoid bars and restaurants / i take these extra measures for myself:	{"0":"no, i did this before but not anymore","1":"NaN","5":"NaN","6":"NaN"}	NA
ik vermijd parken en/of stranden / ik neem deze extra maatregelen voor mezelf:	binomial	binomial	TRUE	2	i avoid parks and/or beaches / i take these extra measures for myself:	{"0":"no, i never did","1":"NaN","5":"NaN","6":"NaN"}	NA
ik verwacht dat anderen alles zullen doen om mij te helpen als ik met het coronavirus besmet ben of raak (in de afgelopen 7 dagen)	ordinal-ordered	binomial	TRUE	7	i expect that others will do everything they can to help me if i get infected or ill with covid-19 (in the last 7 days)	{"1":"helemaal oneens","2":"beetje oneens","3":"niet eens, niet oneens","4":"beetje eens","5":"helemaal eens"}	{"1": "0", "2": "0", "3": "0", "4": "1", "5": "1"}
ik voel me buitengesloten door de maatschappij (in de afgelopen 7 dagen)	ordinal-ordered	binomial	TRUE	4	i feel excluded by society (in the last 7 days)	{"1":"helemaal oneens","2":"beetje oneens","3":"niet eens, niet oneens","4":"beetje eens","5":"helemaal eens"}	{"1": "0", "2": "0", "3": "0", "4": "1", "5": "1"}
ik voel me niet verplicht om de corona maatregelen van de overheid aan te houden (in de afgelopen 7 dagen)	ordinal-ordered	binomial	TRUE	4	i do not feel obliged to comply with the government's corona measures (in the last 7 days)	{"1":"helemaal oneens","2":"beetje oneens","3":"niet eens, niet oneens","4":"beetje eens","5":"helemaal eens"}	{"1": "0", "2": "0", "3": "0", "4": "1", "5": "1"}
ik voel me verbonden met alle nederlanders (in de afgelopen 7 dagen)	ordinal-ordered	binomial	TRUE	7	i feel connected to all dutch people (in the last 7 days)	{"1":"helemaal oneens","2":"beetje oneens","3":"niet eens, niet oneens","4":"beetje eens","5":"helemaal eens"}	{"1": "0", "2": "0", "3": "0", "4": "1", "5": "1"}
ik voelde me fit / in welke mate had u de afgelopen 7 dagen last van:	gaussian	gaussian	TRUE	18	i felt fine / to what extent have you experienced following in the last 7 days:	{"1":"7 (no, that is not true)","2":"6","3":"5","4":"4","5":"3","6":"2","7":"1 (yes, that is true)"}	NA
ik voelde me moe / in welke mate had u de afgelopen 7 dagen last van:	gaussian	gaussian	TRUE	18	i felt tired / to what extent have you experienced following in the last 7 days:	{"1":"7 (no, that is not true)","2":"6","3":"5","4":"4","5":"3","6":"2","7":"1 (yes, that is true)"}	NA
ik was gauw moe / in welke mate had u de afgelopen 7 dagen last van:	gaussian	gaussian	TRUE	18	i was easily tired / to what extent have you experienced following in the last 7 days:	{"1":"7 (no, that is not true)","2":"6","3":"5","4":"4","5":"3","6":"2","7":"1 (yes, that is true)"}	NA
in de afgelopen 7 dagen, hoeveel minuten hebt u in het totaal (matig) intensief bewogen (bijvoorbeeld wandelen, fietsen, hardlopen)?	ordinal-ordered	binomial	TRUE	16	in the last 7 days, how many minutes of (moderately) intense activity did you do (e.g. walking, biking or running)?	{"1":"minder dan 50 minuten","2":"50 tot 100 minuten","3":"100 tot 150 minuten","4":"150 tot 180 minuten","5":"meer dan 180 minuten"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
in de afgelopen 7 dagen, hoeveel minuten hebt u in het totaal (matig) intensief bewogen (bijvoorbeeld wandelen, fietsen, hardlopen)?	ordinal-ordered	binomial	TRUE	16	in the last 7 days, how many minutes of (moderately) intense activity did you do (e.g. walking, biking or running)?	{"1":"minder dan 100 minuten","2":"100 tot 200 minuten","3":"200 tot 300 minuten","4":"300 tot 360 minuten","5":"meer dan 360 minuten"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
in de afgelopen 7 dagen, hoeveel tijd bracht u gemiddeld per weekenddag (za, zo) zittend door?	ordinal-ordered	binomial	TRUE	6	in the past 7 days, how much time did you spend sitting on average per weekend day (sat, sun)?	{}	NA
in de afgelopen 7 dagen, hoeveel tijd bracht u gemiddeld per weekenddag (za, zo) zittend door?	ordinal-ordered	binomial	TRUE	6	in the past 7 days, how much time did you spend sitting on average per weekend day (sat, sun)?	{"1":"NaN","2":"less than 1 hour","3":"1 hour","4":"2 hours","5":"3 hours","6":"4 hours","7":"5 hours","8":"6 hours","9":"7 hours","10":"8 hours","11":"9 hours","12":"10 hours","13":"11 hours","14":"12 hours","15":"more than 12 hours"}	NA
in de afgelopen 7 dagen, hoeveel tijd bracht u gemiddeld per werkdag (ma t/m vr) zittend door?	ordinal-ordered	binomial	TRUE	6	in the past 7 days, how much time did you spend sitting, on average, per working day (monday to friday)?	{}	NA
in de afgelopen 7 dagen, hoeveel tijd bracht u gemiddeld per werkdag (ma t/m vr) zittend door?	ordinal-ordered	binomial	TRUE	6	in the past 7 days, how much time did you spend sitting, on average, per working day (monday to friday)?	{"1":"NaN","2":"less than 1 hour","3":"1 hour","4":"2 hours","5":"3 hours","6":"4 hours","7":"5 hours","8":"6 hours","9":"7 hours","10":"8 hours","11":"9 hours","12":"10 hours","13":"11 hours","14":"12 hours","15":"more than 12 hours"}	NA
je lichamelijk ergens slap voelen / in welke mate had u de afgelopen 7 dagen last van:	ordinal-ordered	binomial	TRUE	18	part of your body feeling limp or heavy / to what extent have you had the following symptoms in the last 7 days:	{"1":"helemaal niet","2":"een beetje","3":"nogal","4":"tamelijk veel","5":"heel erg"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
je soms erg warm, dan weer erg koud voelen / in welke mate had u de afgelopen 7 dagen last van:	ordinal-ordered	binomial	TRUE	18	feeling suddenly warm, then suddenly cold again / to what extent have you had the following symptoms in the last 7 days:	{"1":"helemaal niet","2":"een beetje","3":"nogal","4":"tamelijk veel","5":"heel erg"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
keelpijn / in welke mate had u de afgelopen 7 dagen last van:	ordinal-ordered	binomial	TRUE	18	sore throat / to what extent have you had the following symptoms in the last 7 days:	{"1":"helemaal niet","2":"een beetje","3":"nogal","4":"tamelijk veel","5":"heel erg"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
kon u zich bijna elke dag moeilijk concentreren of moeilijk beslissingen nemen? (in de afgelopen 7 dagen)	binomial	binomial	TRUE	18	was it difficult to concentrate or make decisions almost every day? (in the last 7 days)	{"0":"no","1":"yes"}	NA
kortademigheid / in welke mate had u de afgelopen 7 dagen last van:	ordinal-ordered	binomial	TRUE	18	shortness of breath / to what extent have you had the following symptoms in the last 7 days:	{"1":"helemaal niet","2":"een beetje","3":"nogal","4":"tamelijk veel","5":"heel erg"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
lichamelijk voelde ik me uitgeput / in welke mate had u de afgelopen 7 dagen last van:	gaussian	gaussian	TRUE	18	i felt physically exhausted / to what extent have you experienced following in the last 7 days:	{"1":"7 (no, that is not true)","2":"6","3":"5","4":"4","5":"3","6":"2","7":"1 (yes, that is true)"}	NA
mensen in een risicogroep niet bezoeken (van 70 jaar of ouder en/of met kwetsbare gezondheid) / ik houd me aan de volgende maatregelen:	binomial	binomial	TRUE	2	no visits with anyone in a high risk group (70 years and older and/or health issues) / i comply with the following measures:	{"0":"no, i never did","1":"yes, since the corona crisis","5":"NaN"}	NA
mensen in een risicogroep niet bezoeken (van 70 jaar of ouder en/of met kwetsbare gezondheid) / ik houd me aan de volgende maatregelen:	binomial	binomial	TRUE	2	no visits with anyone in a high risk group (70 years and older and/or health issues) / i comply with the following measures:	{"0":"no, i did this before but not anymore","1":"NaN","5":"NaN"}	NA
misselijkheid of een maag die van streek is / in welke mate had u de afgelopen 7 dagen last van:	ordinal-ordered	binomial	TRUE	18	nausea or upset stomach / to what extent have you had the following symptoms in the last 7 days:	{"1":"helemaal niet","2":"een beetje","3":"nogal","4":"tamelijk veel","5":"heel erg"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
moeilijk adem kunnen krijgen / in welke mate had u de afgelopen 7 dagen last van:	ordinal-ordered	binomial	TRUE	18	difficulty breathing / to what extent have you had the following symptoms in the last 7 days:	{"1":"helemaal niet","2":"een beetje","3":"nogal","4":"tamelijk veel","5":"heel erg"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
nerveus / in welke mate heeft u zich de afgelopen 14 dagen zo gevoeld?	ordinal-ordered	binomial	TRUE	7	nervous / to what extent have you felt this way in the past 14 days?	{"1":"nauwelijks of helemaal niet","2":"een beetje","3":"tamelijk","4":"vrij sterk","5":"in zeer hoge mate"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
niezen / in welke mate had u de afgelopen 7 dagen last van:	ordinal-ordered	binomial	TRUE	17	sneezing / to what extent have you had the following symptoms in the last 7 days:	{"1":"helemaal niet","2":"een beetje","3":"nogal","4":"tamelijk veel","5":"heel erg"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
op hoeveel momenten van de dag eet u iets?	ordinal-ordered	binomial	TRUE	16	how often do you eat per day?	{"1":"minder dan 3x per dag","2":"3x per dag","3":"4x per dag","4":"5x per dag","5":"6x per dag","6":"7x per dag","7":"8x per dag","8":"meer dan 8x per dag"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1", "6": "1", "7": "1", "8": "1"}
pijn bij het ademen / in welke mate had u de afgelopen 7 dagen last van:	ordinal-ordered	binomial	TRUE	18	pain when breathing / to what extent have you had the following symptoms in the last 7 days:	{"1":"helemaal niet","2":"een beetje","3":"nogal","4":"tamelijk veel","5":"heel erg"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
pijn boven in de rug / in welke mate had u de afgelopen 14 dagen last van:	ordinal-ordered	binomial	TRUE	11	pain in the upper back / to what extent have you had the following symptoms in the last 14 days:	{"1":"helemaal niet","2":"een beetje","3":"nogal","4":"tamelijk veel","5":"heel erg"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
pijn in de borst of hartstreek / in welke mate had u de afgelopen 7 dagen last van:	ordinal-ordered	binomial	TRUE	18	heart or chest pain / to what extent have you had the following symptoms in the last 7 days:	{"1":"helemaal niet","2":"een beetje","3":"nogal","4":"tamelijk veel","5":"heel erg"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
pijn in de nek, schouder(s) of arm(en) / in welke mate had u de afgelopen 14 dagen last van:	ordinal-ordered	binomial	TRUE	11	pain in the neck, sholder(s) or arm(s) / to what extent have you had the following symptoms in the last 14 days:	{"1":"helemaal niet","2":"een beetje","3":"nogal","4":"tamelijk veel","5":"heel erg"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
pijn onder in de rug / in welke mate had u de afgelopen 7 dagen last van:	ordinal-ordered	binomial	TRUE	18	lower back pain / to what extent have you had the following symptoms in the last 7 days:	{"1":"helemaal niet","2":"een beetje","3":"nogal","4":"tamelijk veel","5":"heel erg"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
pijnlijke spieren / in welke mate had u de afgelopen 7 dagen last van:	ordinal-ordered	binomial	TRUE	18	muscle pain/aches / to what extent have you had the following symptoms in the last 7 days:	{"1":"helemaal niet","2":"een beetje","3":"nogal","4":"tamelijk veel","5":"heel erg"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
praatte of bewoog u trager dan gewoonlijk, of voelde u zich juist rusteloos, gejaagd en kon u moeilijk stil blijven zitten? bijna elke dag? (in de afgelopen 7 dagen)	binomial	binomial	TRUE	18	did you speak or move more slowly than normal? or did you feel restless, jittery and could barely sit still? nearly every day? (in the last 7 days)	{"0":"no","1":"yes"}	NA
rode, pijnlijke of jeukende ogen / in welke mate had u de afgelopen 7 dagen last van:	ordinal-ordered	binomial	TRUE	18	red, painful or itchy eyes / to what extent have you had the following symptoms in the last 7 days:	{"1":"helemaal niet","2":"een beetje","3":"nogal","4":"tamelijk veel","5":"heel erg"}	{"1": "0", "2": "0", "3": "1", "4": "1", "5": "1"}
sinds de uitbraak van de corona-crisis zie ik anderen in mijn omgeving, zoals mensen in de buurt of in winkels, als een bedreiging voor mijn welzijn	ordinal-ordered	binomial	TRUE	10	since the beginning of the covid-19 crisis, i see others in my area, such as people in the neighborhood or in shops, as a threat to my well-being	{"1":"helemaal oneens","2":"beetje oneens","3":"niet eens, niet oneens","4":"beetje eens","5":"helemaal eens"}	{"1": "0", "2": "0", "3": "0", "4": "1", "5": "1"}
u bijzonder prikkelbaar was? / gebeurde het in de afgelopen 7 dagen vaak dat	binomial	binomial	TRUE	18	you were particularly irritable? / in the last 7 days did it often happen that	{"0":"no","1":"yes"}	NA
u zich gespannen voelde? / gebeurde het in de afgelopen 7 dagen vaak dat	binomial	binomial	TRUE	18	you felt tense? / in the last 7 days did it often happen that	{"0":"no","1":"yes"}	NA
u zich rusteloos, geladen of zenuwachtig voelde? / gebeurde het in de afgelopen 7 dagen vaak dat	binomial	binomial	TRUE	18	you felt restless, jittery or nervous? / in the last 7 days did it often happen that	{"0":"no","1":"yes"}	NA
