	question_id	is_first_time_asked	question_label_nl	question_label_en	model_type	given_recode_json	is_recoded	given_recode_human	total_recode_json	total_recode_human	value_counts	value_counts_human	value_counts_after_recode	value_counts_after_recode_human	answer_options_nl_json	answer_options_nl_human	answer_options_nl_after_recode_json	answer_options_nl_after_recode_human	answer_options_en_json	answer_options_en_human	answer_options_en_after_recode_json	answer_options_en_after_recode_human
11	covt13_mini_depressive_score	FALSE	Mini combined, depressief score		gaussian		FALSE				{"NaN": 26935, "2.0": 118, "3.0": 113, "4.0": 103, "1.0": 90, "5.0": 84, "6.0": 51, "7.0": 25, "8.0": 12, "0.0": 6}	NaN: 26935, 2.0: 118, 3.0: 113, 4.0: 103, 1.0: 90, 5.0: 84, 6.0: 51, 7.0: 25, 8.0: 12, 0.0: 6	{"NaN": 26935, "2.0": 118, "3.0": 113, "4.0": 103, "1.0": 90, "5.0": 84, "6.0": 51, "7.0": 25, "8.0": 12, "0.0": 6}	NaN: 26935, 2.0: 118, 3.0: 113, 4.0: 103, 1.0: 90, 5.0: 84, 6.0: 51, 7.0: 25, 8.0: 12, 0.0: 6	{}		{}		{}		{}	
12	covt14_mini_depressive_score	FALSE	Mini combined, depressief score		gaussian		FALSE				{"NaN": 26915, "2.0": 136, "3.0": 115, "4.0": 94, "1.0": 93, "5.0": 79, "6.0": 52, "7.0": 27, "0.0": 14, "8.0": 12}	NaN: 26915, 2.0: 136, 3.0: 115, 4.0: 94, 1.0: 93, 5.0: 79, 6.0: 52, 7.0: 27, 0.0: 14, 8.0: 12	{"NaN": 26915, "2.0": 136, "3.0": 115, "4.0": 94, "1.0": 93, "5.0": 79, "6.0": 52, "7.0": 27, "0.0": 14, "8.0": 12}	NaN: 26915, 2.0: 136, 3.0: 115, 4.0: 94, 1.0: 93, 5.0: 79, 6.0: 52, 7.0: 27, 0.0: 14, 8.0: 12	{}		{}		{}		{}	
13	covt15_mini_depressive_score	FALSE	Mini combined, depressief score		gaussian		FALSE				{"NaN": 26877, "2.0": 149, "3.0": 132, "4.0": 113, "1.0": 102, "5.0": 71, "6.0": 51, "7.0": 32, "8.0": 6, "0.0": 4}	NaN: 26877, 2.0: 149, 3.0: 132, 4.0: 113, 1.0: 102, 5.0: 71, 6.0: 51, 7.0: 32, 8.0: 6, 0.0: 4	{"NaN": 26877, "2.0": 149, "3.0": 132, "4.0": 113, "1.0": 102, "5.0": 71, "6.0": 51, "7.0": 32, "8.0": 6, "0.0": 4}	NaN: 26877, 2.0: 149, 3.0: 132, 4.0: 113, 1.0: 102, 5.0: 71, 6.0: 51, 7.0: 32, 8.0: 6, 0.0: 4	{}		{}		{}		{}	
14	covt16_mini_depressive_score	FALSE	Mini combined, depressief score		gaussian		FALSE				{"NaN": 26970, "3.0": 121, "2.0": 116, "4.0": 104, "5.0": 75, "1.0": 60, "6.0": 45, "7.0": 21, "8.0": 13, "0.0": 12}	NaN: 26970, 3.0: 121, 2.0: 116, 4.0: 104, 5.0: 75, 1.0: 60, 6.0: 45, 7.0: 21, 8.0: 13, 0.0: 12	{"NaN": 26970, "3.0": 121, "2.0": 116, "4.0": 104, "5.0": 75, "1.0": 60, "6.0": 45, "7.0": 21, "8.0": 13, "0.0": 12}	NaN: 26970, 3.0: 121, 2.0: 116, 4.0: 104, 5.0: 75, 1.0: 60, 6.0: 45, 7.0: 21, 8.0: 13, 0.0: 12	{}		{}		{}		{}	
15	covt17_mini_depressive_score	FALSE	Mini combined, depressief score		gaussian		FALSE				{"NaN": 26743, "3.0": 184, "2.0": 169, "4.0": 144, "1.0": 99, "5.0": 85, "6.0": 55, "7.0": 44, "8.0": 7, "0.0": 7}	NaN: 26743, 3.0: 184, 2.0: 169, 4.0: 144, 1.0: 99, 5.0: 85, 6.0: 55, 7.0: 44, 8.0: 7, 0.0: 7	{"NaN": 26743, "3.0": 184, "2.0": 169, "4.0": 144, "1.0": 99, "5.0": 85, "6.0": 55, "7.0": 44, "8.0": 7, "0.0": 7}	NaN: 26743, 3.0: 184, 2.0: 169, 4.0: 144, 1.0: 99, 5.0: 85, 6.0: 55, 7.0: 44, 8.0: 7, 0.0: 7	{}		{}		{}		{}	
16	covt01_positive_tested_cumsum	TRUE	Positive tested cumsum		binomial		FALSE				{"0.0": 16629, "NaN": 10897, "1.0": 11}	0.0: 16629, NaN: 10897, 1.0: 11	{"0.0": 16629, "NaN": 10897, "1.0": 11}	0.0: 16629, NaN: 10897, 1.0: 11	{}		{}		{}		{}	
17	covt02_positive_tested_cumsum	FALSE	Positive tested cumsum		binomial		FALSE				{"0.0": 17567, "NaN": 9953, "1.0": 17}	0.0: 17567, NaN: 9953, 1.0: 17	{"0.0": 17567, "NaN": 9953, "1.0": 17}	0.0: 17567, NaN: 9953, 1.0: 17	{}		{}		{}		{}	
18	covt03_positive_tested_cumsum	FALSE	Positive tested cumsum		binomial		FALSE				{"0.0": 17822, "NaN": 9698, "1.0": 17}	0.0: 17822, NaN: 9698, 1.0: 17	{"0.0": 17822, "NaN": 9698, "1.0": 17}	0.0: 17822, NaN: 9698, 1.0: 17	{}		{}		{}		{}	
19	covt04_positive_tested_cumsum	FALSE	Positive tested cumsum		binomial		FALSE				{"0.0": 17019, "NaN": 10495, "1.0": 23}	0.0: 17019, NaN: 10495, 1.0: 23	{"0.0": 17019, "NaN": 10495, "1.0": 23}	0.0: 17019, NaN: 10495, 1.0: 23	{}		{}		{}		{}	
20	covt05_positive_tested_cumsum	FALSE	Positive tested cumsum		binomial		FALSE				{"0.0": 16396, "NaN": 11120, "1.0": 21}	0.0: 16396, NaN: 11120, 1.0: 21	{"0.0": 16396, "NaN": 11120, "1.0": 21}	0.0: 16396, NaN: 11120, 1.0: 21	{}		{}		{}		{}	
21	covt06_positive_tested_cumsum	FALSE	Positive tested cumsum		binomial		FALSE				{"0.0": 15579, "NaN": 11934, "1.0": 24}	0.0: 15579, NaN: 11934, 1.0: 24	{"0.0": 15579, "NaN": 11934, "1.0": 24}	0.0: 15579, NaN: 11934, 1.0: 24	{}		{}		{}		{}	
22	covt07_positive_tested_cumsum	FALSE	Positive tested cumsum		binomial		FALSE				{"0.0": 15330, "NaN": 12183, "1.0": 24}	0.0: 15330, NaN: 12183, 1.0: 24	{"0.0": 15330, "NaN": 12183, "1.0": 24}	0.0: 15330, NaN: 12183, 1.0: 24	{}		{}		{}		{}	
23	covt08_positive_tested_cumsum	FALSE	Positive tested cumsum		binomial		FALSE				{"NaN": 13780, "0.0": 13735, "1.0": 22}	NaN: 13780, 0.0: 13735, 1.0: 22	{"NaN": 13780, "0.0": 13735, "1.0": 22}	NaN: 13780, 0.0: 13735, 1.0: 22	{}		{}		{}		{}	
24	covt09_positive_tested_cumsum	FALSE	Positive tested cumsum		binomial		FALSE				{"NaN": 14630, "0.0": 12884, "1.0": 23}	NaN: 14630, 0.0: 12884, 1.0: 23	{"NaN": 14630, "0.0": 12884, "1.0": 23}	NaN: 14630, 0.0: 12884, 1.0: 23	{}		{}		{}		{}	
25	covt10_positive_tested_cumsum	FALSE	Positive tested cumsum		binomial		FALSE				{"NaN": 15662, "0.0": 11850, "1.0": 25}	NaN: 15662, 0.0: 11850, 1.0: 25	{"NaN": 15662, "0.0": 11850, "1.0": 25}	NaN: 15662, 0.0: 11850, 1.0: 25	{}		{}		{}		{}	
26	covt11_positive_tested_cumsum	FALSE	Positive tested cumsum		binomial		FALSE				{"NaN": 14742, "0.0": 12774, "1.0": 21}	NaN: 14742, 0.0: 12774, 1.0: 21	{"NaN": 14742, "0.0": 12774, "1.0": 21}	NaN: 14742, 0.0: 12774, 1.0: 21	{}		{}		{}		{}	
27	covt12_positive_tested_cumsum	FALSE	Positive tested cumsum		binomial		FALSE				{"NaN": 14323, "0.0": 13185, "1.0": 29}	NaN: 14323, 0.0: 13185, 1.0: 29	{"NaN": 14323, "0.0": 13185, "1.0": 29}	NaN: 14323, 0.0: 13185, 1.0: 29	{}		{}		{}		{}	
28	covt13_positive_tested_cumsum	FALSE	Positive tested cumsum		binomial		FALSE				{"NaN": 14746, "0.0": 12762, "1.0": 29}	NaN: 14746, 0.0: 12762, 1.0: 29	{"NaN": 14746, "0.0": 12762, "1.0": 29}	NaN: 14746, 0.0: 12762, 1.0: 29	{}		{}		{}		{}	
29	covt14_positive_tested_cumsum	FALSE	Positive tested cumsum		binomial		FALSE				{"NaN": 15157, "0.0": 12247, "1.0": 133}	NaN: 15157, 0.0: 12247, 1.0: 133	{"NaN": 15157, "0.0": 12247, "1.0": 133}	NaN: 15157, 0.0: 12247, 1.0: 133	{}		{}		{}		{}	
30	covt15_positive_tested_cumsum	FALSE	Positive tested cumsum		binomial		FALSE				{"NaN": 15025, "0.0": 12323, "1.0": 189}	NaN: 15025, 0.0: 12323, 1.0: 189	{"NaN": 15025, "0.0": 12323, "1.0": 189}	NaN: 15025, 0.0: 12323, 1.0: 189	{}		{}		{}		{}	
31	covt15b_positive_tested_cumsum	FALSE	Positive tested cumsum		binomial		FALSE				{"NaN": 17412, "0.0": 9965, "1.0": 160}	NaN: 17412, 0.0: 9965, 1.0: 160	{"NaN": 17412, "0.0": 9965, "1.0": 160}	NaN: 17412, 0.0: 9965, 1.0: 160	{}		{}		{}		{}	
32	covt16_positive_tested_cumsum	FALSE	Positive tested cumsum		binomial		FALSE				{"NaN": 15890, "0.0": 11409, "1.0": 238}	NaN: 15890, 0.0: 11409, 1.0: 238	{"NaN": 15890, "0.0": 11409, "1.0": 238}	NaN: 15890, 0.0: 11409, 1.0: 238	{}		{}		{}		{}	
33	covt16b_positive_tested_cumsum	FALSE	Positive tested cumsum		binomial		FALSE				{"NaN": 17932, "0.0": 9375, "1.0": 230}	NaN: 17932, 0.0: 9375, 1.0: 230	{"NaN": 17932, "0.0": 9375, "1.0": 230}	NaN: 17932, 0.0: 9375, 1.0: 230	{}		{}		{}		{}	
34	covt17_positive_tested_cumsum	FALSE	Positive tested cumsum		binomial		FALSE				{"NaN": 15033, "0.0": 12037, "1.0": 467}	NaN: 15033, 0.0: 12037, 1.0: 467	{"NaN": 15033, "0.0": 12037, "1.0": 467}	NaN: 15033, 0.0: 12037, 1.0: 467	{}		{}		{}		{}	
35	covt01_bmi	TRUE	BMI		gaussian		FALSE				{}		{}		{}		{}		{}		{}	
36	covt02_bmi	FALSE	BMI		gaussian		FALSE				{}		{}		{}		{}		{}		{}	
37	covt03_bmi	FALSE	BMI		gaussian		FALSE				{}		{}		{}		{}		{}		{}	
38	covt04_bmi	FALSE	BMI		gaussian		FALSE				{}		{}		{}		{}		{}		{}	
39	covt05_bmi	FALSE	BMI		gaussian		FALSE				{}		{}		{}		{}		{}		{}	
40	covt06_bmi	FALSE	BMI		gaussian		FALSE				{}		{}		{}		{}		{}		{}	
41	covt07_bmi	FALSE	BMI		gaussian		FALSE				{}		{}		{}		{}		{}		{}	
42	covt08_bmi	FALSE	BMI		gaussian		FALSE				{}		{}		{}		{}		{}		{}	
43	covt09_bmi	FALSE	BMI		gaussian		FALSE				{}		{}		{}		{}		{}		{}	
44	covt11_bmi	FALSE	BMI		gaussian		FALSE				{}		{}		{}		{}		{}		{}	
45	covt12_bmi	FALSE	BMI		gaussian		FALSE				{}		{}		{}		{}		{}		{}	
46	covt13_bmi	FALSE	BMI		gaussian		FALSE				{}		{}		{}		{}		{}		{}	
47	covt14_bmi	FALSE	BMI		gaussian		FALSE				{}		{}		{}		{}		{}		{}	
48	covt15_bmi	FALSE	BMI		gaussian		FALSE				{}		{}		{}		{}		{}		{}	
49	covt16_bmi	FALSE	BMI		gaussian		FALSE				{}		{}		{}		{}		{}		{}	
50	covt17_bmi	FALSE	BMI		gaussian		FALSE				{}		{}		{}		{}		{}		{}	
51	covt01_infection_adu_q_1_a	TRUE	hebt u een coronavirus/covid-19 infectie (gehad)?		binomial		TRUE		{"2.0": 0.0}	2.0: 0.0	{"NaN": 27431, "2.0": 95, "1.0": 11}	NaN: 27431, 2.0: 95, 1.0: 11	{"NaN": 27431, "0.0": 95, "1.0": 11}	NaN: 27431, 0.0: 95, 1.0: 11	{"1.0": "ja", "2.0": "nee"}	1.0: ja, 2.0: nee	{"1.0": "ja", "0.0": "nee"}	1.0: ja, 0.0: nee	{"1.0": "yes", "2.0": "no"}	1.0: yes, 2.0: no	{"1.0": "yes", "0.0": "no"}	1.0: yes, 0.0: no
52	covt02_infection_adu_q_1_a	FALSE	hebt u een coronavirus/covid-19 infectie (gehad)?		binomial		TRUE		{"2.0": 0.0}	2.0: 0.0	{"NaN": 27404, "2.0": 116, "1.0": 17}	NaN: 27404, 2.0: 116, 1.0: 17	{"NaN": 27404, "0.0": 116, "1.0": 17}	NaN: 27404, 0.0: 116, 1.0: 17	{"2.0": "nee", "1.0": "ja"}	2.0: nee, 1.0: ja	{"0.0": "nee", "1.0": "ja"}	0.0: nee, 1.0: ja	{"2.0": "no", "1.0": "yes"}	2.0: no, 1.0: yes	{"0.0": "no", "1.0": "yes"}	0.0: no, 1.0: yes
53	covt03_infection_adu_q_1_a	FALSE	hebt u een coronavirus/covid-19 infectie (gehad)?		binomial		TRUE		{"2.0": 0.0}	2.0: 0.0	{"NaN": 27403, "2.0": 120, "1.0": 14}	NaN: 27403, 2.0: 120, 1.0: 14	{"NaN": 27403, "0.0": 120, "1.0": 14}	NaN: 27403, 0.0: 120, 1.0: 14	{"1.0": "ja", "2.0": "nee"}	1.0: ja, 2.0: nee	{"1.0": "ja", "0.0": "nee"}	1.0: ja, 0.0: nee	{"1.0": "yes", "2.0": "no"}	1.0: yes, 2.0: no	{"1.0": "yes", "0.0": "no"}	1.0: yes, 0.0: no
54	covt04_infection_adu_q_1_a	FALSE	hebt u een coronavirus/covid-19 infectie (gehad)?		binomial		TRUE		{"2.0": 0.0}	2.0: 0.0	{"NaN": 27397, "2.0": 119, "1.0": 21}	NaN: 27397, 2.0: 119, 1.0: 21	{"NaN": 27397, "0.0": 119, "1.0": 21}	NaN: 27397, 0.0: 119, 1.0: 21	{"1.0": "ja", "2.0": "nee"}	1.0: ja, 2.0: nee	{"1.0": "ja", "0.0": "nee"}	1.0: ja, 0.0: nee	{"1.0": "yes", "2.0": "no"}	1.0: yes, 2.0: no	{"1.0": "yes", "0.0": "no"}	1.0: yes, 0.0: no
55	covt05_infection_adu_q_1_a	FALSE	hebt u een coronavirus/covid-19 infectie (gehad)?		binomial		TRUE		{"2.0": 0.0}	2.0: 0.0	{"NaN": 27424, "2.0": 100, "1.0": 13}	NaN: 27424, 2.0: 100, 1.0: 13	{"NaN": 27424, "0.0": 100, "1.0": 13}	NaN: 27424, 0.0: 100, 1.0: 13	{"1.0": "ja", "2.0": "nee"}	1.0: ja, 2.0: nee	{"1.0": "ja", "0.0": "nee"}	1.0: ja, 0.0: nee	{"1.0": "yes", "2.0": "no"}	1.0: yes, 2.0: no	{"1.0": "yes", "0.0": "no"}	1.0: yes, 0.0: no
56	covt06_infection_adu_q_2_a	FALSE	hebt u een coronavirus/covid-19 infectie (gehad)?		binomial		TRUE		{"2.0": 0.0}	2.0: 0.0	{"NaN": 27483, "2.0": 48, "1.0": 6}	NaN: 27483, 2.0: 48, 1.0: 6	{"NaN": 27483, "0.0": 48, "1.0": 6}	NaN: 27483, 0.0: 48, 1.0: 6	{"1.0": "positief, ik heb wel een coronavirus-infectie (covid-19)", "2.0": "negatief, ik heb geen coronavirus-infectie (covid-19)"}	1.0: positief, ik heb wel een coronavirus-infectie (covid-19), 2.0: negatief, ik heb geen coronavirus-infectie (covid-19)	{"1.0": "positief, ik heb wel een coronavirus-infectie (covid-19)", "0.0": "negatief, ik heb geen coronavirus-infectie (covid-19)"}	1.0: positief, ik heb wel een coronavirus-infectie (covid-19), 0.0: negatief, ik heb geen coronavirus-infectie (covid-19)	{"1.0": "positive, i am infected with the coronavirus (covid-19)", "2.0": "negative, i am not infected with the coronavirus (covid-19)"}	1.0: positive, i am infected with the coronavirus (covid-19), 2.0: negative, i am not infected with the coronavirus (covid-19)	{"1.0": "positive, i am infected with the coronavirus (covid-19)", "0.0": "negative, i am not infected with the coronavirus (covid-19)"}	1.0: positive, i am infected with the coronavirus (covid-19), 0.0: negative, i am not infected with the coronavirus (covid-19)
57	covt07_infection_adu_q_2_a	FALSE	hebt u een coronavirus/covid-19 infectie (gehad)?		binomial		TRUE		{"2.0": 0.0}	2.0: 0.0	{"NaN": 27449, "2.0": 84, "1.0": 4}	NaN: 27449, 2.0: 84, 1.0: 4	{"NaN": 27449, "0.0": 84, "1.0": 4}	NaN: 27449, 0.0: 84, 1.0: 4	{"2.0": "negatief, ik heb geen coronavirus-infectie (covid-19)", "1.0": "positief, ik heb wel een coronavirus-infectie (covid-19)"}	2.0: negatief, ik heb geen coronavirus-infectie (covid-19), 1.0: positief, ik heb wel een coronavirus-infectie (covid-19)	{"0.0": "negatief, ik heb geen coronavirus-infectie (covid-19)", "1.0": "positief, ik heb wel een coronavirus-infectie (covid-19)"}	0.0: negatief, ik heb geen coronavirus-infectie (covid-19), 1.0: positief, ik heb wel een coronavirus-infectie (covid-19)	{"2.0": "negative, i am not infected with the coronavirus (covid-19)", "1.0": "positive, i am infected with the coronavirus (covid-19)"}	2.0: negative, i am not infected with the coronavirus (covid-19), 1.0: positive, i am infected with the coronavirus (covid-19)	{"0.0": "negative, i am not infected with the coronavirus (covid-19)", "1.0": "positive, i am infected with the coronavirus (covid-19)"}	0.0: negative, i am not infected with the coronavirus (covid-19), 1.0: positive, i am infected with the coronavirus (covid-19)
58	covt08_infection_adu_q_2_a	FALSE	hebt u een coronavirus/covid-19 infectie (gehad)?		binomial		TRUE		{"2.0": 0.0}	2.0: 0.0	{"NaN": 27432, "2.0": 103, "1.0": 2}	NaN: 27432, 2.0: 103, 1.0: 2	{"NaN": 27432, "0.0": 103, "1.0": 2}	NaN: 27432, 0.0: 103, 1.0: 2	{"1.0": "positief, ik heb wel een coronavirus-infectie (covid-19)", "2.0": "negatief, ik heb geen coronavirus-infectie (covid-19)"}	1.0: positief, ik heb wel een coronavirus-infectie (covid-19), 2.0: negatief, ik heb geen coronavirus-infectie (covid-19)	{"1.0": "positief, ik heb wel een coronavirus-infectie (covid-19)", "0.0": "negatief, ik heb geen coronavirus-infectie (covid-19)"}	1.0: positief, ik heb wel een coronavirus-infectie (covid-19), 0.0: negatief, ik heb geen coronavirus-infectie (covid-19)	{"1.0": "positive, i am infected with the coronavirus (covid-19)", "2.0": "negative, i am not infected with the coronavirus (covid-19)"}	1.0: positive, i am infected with the coronavirus (covid-19), 2.0: negative, i am not infected with the coronavirus (covid-19)	{"1.0": "positive, i am infected with the coronavirus (covid-19)", "0.0": "negative, i am not infected with the coronavirus (covid-19)"}	1.0: positive, i am infected with the coronavirus (covid-19), 0.0: negative, i am not infected with the coronavirus (covid-19)
59	covt09_infection_adu_q_2_a	FALSE	hebt u een coronavirus/covid-19 infectie (gehad)?		binomial		TRUE		{"2.0": 0.0}	2.0: 0.0	{"NaN": 27357, "2.0": 175, "1.0": 5}	NaN: 27357, 2.0: 175, 1.0: 5	{"NaN": 27357, "0.0": 175, "1.0": 5}	NaN: 27357, 0.0: 175, 1.0: 5	{"2.0": "negatief, ik heb geen coronavirus-infectie (covid-19)", "1.0": "positief, ik heb wel een coronavirus-infectie (covid-19)"}	2.0: negatief, ik heb geen coronavirus-infectie (covid-19), 1.0: positief, ik heb wel een coronavirus-infectie (covid-19)	{"0.0": "negatief, ik heb geen coronavirus-infectie (covid-19)", "1.0": "positief, ik heb wel een coronavirus-infectie (covid-19)"}	0.0: negatief, ik heb geen coronavirus-infectie (covid-19), 1.0: positief, ik heb wel een coronavirus-infectie (covid-19)	{"2.0": "negative, i am not infected with the coronavirus (covid-19)", "1.0": "positive, i am infected with the coronavirus (covid-19)"}	2.0: negative, i am not infected with the coronavirus (covid-19), 1.0: positive, i am infected with the coronavirus (covid-19)	{"0.0": "negative, i am not infected with the coronavirus (covid-19)", "1.0": "positive, i am infected with the coronavirus (covid-19)"}	0.0: negative, i am not infected with the coronavirus (covid-19), 1.0: positive, i am infected with the coronavirus (covid-19)
60	covt10_infection_adu_q_2_a	FALSE	hebt u een coronavirus/covid-19 infectie (gehad)?		binomial		TRUE		{"2.0": 0.0}	2.0: 0.0	{"NaN": 27278, "2.0": 256, "1.0": 3}	NaN: 27278, 2.0: 256, 1.0: 3	{"NaN": 27278, "0.0": 256, "1.0": 3}	NaN: 27278, 0.0: 256, 1.0: 3	{"2.0": "negatief, ik heb geen coronavirus-infectie (covid-19)", "1.0": "positief, ik heb wel een coronavirus-infectie (covid-19)"}	2.0: negatief, ik heb geen coronavirus-infectie (covid-19), 1.0: positief, ik heb wel een coronavirus-infectie (covid-19)	{"0.0": "negatief, ik heb geen coronavirus-infectie (covid-19)", "1.0": "positief, ik heb wel een coronavirus-infectie (covid-19)"}	0.0: negatief, ik heb geen coronavirus-infectie (covid-19), 1.0: positief, ik heb wel een coronavirus-infectie (covid-19)	{"2.0": "negative, i am not infected with the coronavirus (covid-19)", "1.0": "positive, i am infected with the coronavirus (covid-19)"}	2.0: negative, i am not infected with the coronavirus (covid-19), 1.0: positive, i am infected with the coronavirus (covid-19)	{"0.0": "negative, i am not infected with the coronavirus (covid-19)", "1.0": "positive, i am infected with the coronavirus (covid-19)"}	0.0: negative, i am not infected with the coronavirus (covid-19), 1.0: positive, i am infected with the coronavirus (covid-19)
