	GWAS
pijnlijke spieren / in welke mate had u de afgelopen 7 dagen last van:	Depression..broad.;EduYears;Life.satisfaction;Neuroticism;Schizophrenia
praatte of bewoog u trager dan gewoonlijk, of voelde u zich juist rusteloos, gejaagd en kon u moeilijk stil blijven zitten? bijna elke dag? (in de afgelopen 7 dagen)	Life.satisfaction
sinds de uitbraak van de corona-crisis zie ik anderen in mijn omgeving, zoals mensen in de buurt of in winkels, als een bedreiging voor mijn welzijn	EduYears;Neuroticism
u bijzonder prikkelbaar was? / gebeurde het in de afgelopen 7 dagen vaak dat	Life.satisfaction;Neuroticism
u zich gespannen voelde? / gebeurde het in de afgelopen 7 dagen vaak dat	Depression..broad.;Life.satisfaction;Neuroticism;Schizophrenia
u zich rusteloos, geladen of zenuwachtig voelde? / gebeurde het in de afgelopen 7 dagen vaak dat	Depression..broad.;Life.satisfaction;Neuroticism
vijandig / in welke mate heeft u zich de afgelopen 14 dagen zo gevoeld?	Depression..broad.;Life.satisfaction;Neuroticism
voelde u zich bijna elke dag moe of futloos? (in de afgelopen 14 dagen)	Life.satisfaction;Neuroticism
voelde u zich bijna elke dag waardeloos of schuldig? (in de afgelopen 7 dagen)	Life.satisfaction
voorafgaand aan de corona-crisis, hoeveel minuten bewoog u per week (matig) intensief (bijvoorbeeld wandelen, fietsen, hardlopen)?	Accelerometer.based.physical.activity.measurement..average.acceleration.;BMI;EduYears
was uw eetlust merkbaar veranderd, of is uw gewicht toegenomen of afgenomen, zonder dat dit de bedoeling was? (in de afgelopen 7 dagen)	BMI
wat vindt u, over het algemeen genomen, van uw gezondheid?	Depression..broad.;EduYears;Life.satisfaction;Neuroticism
welk rapportcijfer geeft u zichzelf voor hoe fit u zich voelt (van 1 tot 10)	Life.satisfaction
werkt tenminste één van uw huisgenoten nog buitenshuis?	EduYears
zwaar voelen in armen of benen / in welke mate had u de afgelopen 7 dagen last van:	Depression..broad.;Life.satisfaction;Neuroticism
